Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-14,125.368,125.368,124.118,124.298,217500,0.0,0.0
2019-03-15,124.582,125.794,123.388,123.502,590000,0.0,0.0
2019-03-18,123.644,126.003,123.493,125.946,208300,0.0,0.0
2019-03-19,126.145,127.139,125.576,125.898,152000,0.0,0.0
2019-03-20,125.718,127.035,123.748,124.781,203900,0.0,0.0
2019-03-21,124.25,127.395,124.203,126.741,161500,0.0,0.0
2019-03-22,125.851,126.211,121.096,121.191,160500,0.0,0.0
2019-03-25,121.125,122.669,121.039,121.769,111500,0.0,0.0
2019-03-26,122.858,123.786,122.271,123.407,112100,0.0,0.0
2019-03-27,123.568,124.051,122.896,123.019,117700,0.0,0.0
2019-03-28,123.085,125.008,123.085,124.61,106800,0.0,0.0
2019-03-29,125.472,126.296,125.16,125.52,129600,0.0,0.0
2019-04-01,126.135,128.854,124.26,128.664,178300,0.0,0.0
2019-04-02,128.863,129.583,127.499,129.242,190900,0.0,0.0
2019-04-03,129.763,130.994,129.555,130.123,131400,0.0,0.0
2019-04-04,130.379,131.648,129.858,130.445,171200,0.0,0.0
2019-04-05,129.896,131.724,129.659,131.619,166200,0.0,0.0
2019-04-08,130.956,132.519,130.038,132.491,95800,0.0,0.0
2019-04-09,131.818,132.102,129.621,131.506,159200,0.0,0.0
2019-04-10,131.629,134.006,131.08,133.447,233500,0.0,0.0
2019-04-11,133.675,134.139,132.718,133.949,131400,0.0,0.0
2019-04-12,134.499,136.715,134.025,136.62,177000,0.0,0.0
2019-04-15,136.1,136.867,135.408,136.478,155900,0.0,0.0
2019-04-16,137.34,138.666,136.914,137.293,235700,0.0,0.0
2019-04-17,137.909,139.045,136.639,136.753,176500,0.0,0.0
2019-04-18,137.378,138.524,136.261,138.382,151200,0.0,0.0
2019-04-22,137.795,138.136,136.924,138.06,124100,0.0,0.0
2019-04-23,138.629,141.347,138.07,140.296,244900,0.0,0.0
2019-04-24,140.277,141.29,139.462,139.595,160400,0.0,0.0
2019-04-25,138.752,139.017,135.645,136.024,137300,0.0,0.0
2019-04-26,135.872,137.88,135.512,137.416,133100,0.0,0.0
2019-04-29,137.719,138.988,137.568,138.856,131100,0.0,0.0
2019-04-30,137.795,138.619,136.687,138.24,340100,0.0,0.0
2019-05-01,138.922,138.922,135.294,136.668,168900,0.0,0.0
2019-05-02,136.403,137.842,135.474,137.634,119500,0.0,0.0
2019-05-03,138.515,141.195,138.344,140.996,131400,0.0,0.0
2019-05-06,138.439,140.532,137.814,139.822,195800,0.0,0.0
2019-05-07,138.42,138.42,135.446,137.435,115200,0.0,0.0
2019-05-08,137.151,138.231,136.459,136.734,126300,0.0,0.0
2019-05-09,135.512,136.327,133.855,135.702,143800,0.0,0.0
2019-05-10,134.821,135.778,132.235,135.408,155000,0.0,0.0
2019-05-13,132.851,132.889,130.142,130.672,150100,0.0,0.0
2019-05-14,131.013,131.648,130.094,130.454,175800,0.0,0.0
2019-05-15,129.071,131.525,127.916,130.663,239100,0.0,0.0
2019-05-16,131.117,131.809,130.473,130.956,246100,0.0,0.0
2019-05-17,129.479,130.265,128.039,128.086,275500,0.0,0.0
2019-05-20,126.344,127.367,123.512,123.692,570500,0.0,0.0
2019-05-21,121.475,127.537,121.286,126.789,611500,0.0,0.0
2019-05-22,125.917,126.391,123.284,124.298,206600,0.0,0.0
2019-05-23,123.133,123.133,120.992,121.93,230800,0.0,0.0
2019-05-24,122.747,122.747,120.857,121.54,148400,0.35,0.0
2019-05-28,121.778,123.117,120.429,120.524,240500,0.0,0.0
2019-05-29,119.688,121.578,119.688,120.838,129100,0.0,0.0
2019-05-30,120.847,122.509,120.391,120.866,119000,0.0,0.0
2019-05-31,119.327,120.619,118.976,119.308,182000,0.0,0.0
2019-06-03,119.109,120.752,118.634,119.384,295200,0.0,0.0
2019-06-04,120.23,123.345,120.23,122.908,225100,0.0,0.0
2019-06-05,123.525,125.729,122.101,124.295,179800,0.0,0.0
2019-06-06,124.209,125.558,123.62,124.741,110500,0.0,0.0
2019-06-07,125.482,126.85,125.017,125.691,98700,0.0,0.0
2019-06-10,126.498,128.958,126.375,127.809,134300,0.0,0.0
2019-06-11,128.939,130.012,126.65,126.831,120300,0.0,0.0
2019-06-12,126.451,127.524,125.52,126.546,140400,0.0,0.0
